region_id,la,region,acc,name,address,contact,email,or,rate,perf,no,,perf_model
15,,CAR,14-0001-2325-LW-1,DOST-CAR REGIONAL STANDARDS TESTING LABORATORY,"KM 6, La Trinidad",09664692205/090823338955/ (074) 422 2214,rstlcar@gmail.com,52260736,0,EXCELLENT,WMTL-PT-23-14013,,E
15,,CAR,14-0060-23-CL-1,HEALTH SERVICES OFFICE - PUBLIC HEALTH LABORATORY,"T. Alonzo St, BAGUIO",09209034551/ 442 6018,mycoleprae00@gmail.com,5233511,0,EXCELLENT,WMTL-PT-23-14014,,E
2,,II,02-292-14-500-H3-1,CAGAYAN VALLEY MEDICAL CENTER - WATER BACTERIOLOGY,"Dalan na Pagayaya, Regional Government Center, Carig Sur, Tuguegarao City, Cagayan",0917-8564911/ (078) 302 0000 loc. 160,cvmclaboratory@yahoo.com,517011,0,EXCELLENT,WMTL-PT-23-02015,,E
2,,II,02-02-2325-LW-01,CAUAYAN CITY WATER DISTRICT,"La Consolacion Nisperos St. Cabaruan, Cauayan city, Isabela",09178259435 / (078)- 652-5237,ccwd_88@yahoo.com/ ayen_092987@yahoo.com,5186598,2,ACCEPTABLE,WMTL-PT-23-02016,,A
2,,II,02-016-19-HI-1,GOV. FAUSTINO N. DY SR. MEMORIAL HOSPITAL,"Calamagui 2nd City of Ilagan, Isabela",0977-3075440 / 624-0036,gfndsmh@yahoo.com.ph,5164567,0,EXCELLENT,WMTL-PT-23-02017,,E
2,,II,02-01-2325-LW-1,METROPOLITAN TUGUEGARAO WATER DISTRICT- WATER LABORATORY,"MAIN AVNEUE, SAN GABRIEL, Tuguegarao City",09176308068/ (078) 844 1586,waterlab@mtwd.goc.ph,5227867,1,HIGHLY SATISFACTORY,WMTL-PT-23-02018,,HS
2,,II,02-096-22-CL-1,NUEVA VIZCAYA PROVINCIAL PUBLIC HEALTH LABORATORY,"Provincial Integrated Health Office, Capitol Compound, District IV, Bayombong, Nueva Vizcaya",09171197441/ 3263000,pho.labnv@yahoo.com,5070570,0,EXCELLENT,WMTL-PT-23-02019,,E
2,,II,02-001-22-LW-1,SANTIAGO WATER DISTRICT WATER LABORATORY,"Sanwad Water Treatment Plant- Mabini, Santiago City, Isabela",9175547722,sanwadwaterlab@yahoo.com,5227663,0,EXCELLENT,WMTL-PT-23-02020,,E
3,,III,03-003-2224-LW-2,AMEER DIAGNOSTIC LABORATORY,"A. MABINI ST. MOJON, Malolos City Bulacan",9255255504,ameerdtl_lab@yahoo.com,5219621,0,EXCELLENT,WMTL-PT-23-03021,,E
3,,III,03-003-20-LW-I,ANGELES CITY WATER DISTRICT LABORATORY,"Angeles City Water District Central Reservoir Complex, Freindship Hi-way Brgy. Sto. Domingo Angeles City, Pampanga",9603841513,acwdlab@yahoo.com,5158535,0,EXCELLENT,WMTL-PT-23-03022,,E
3,,III,03-0277-22-H3-2,ANGELES UNIVERSITY FOUNDATION MEDICAL CENTER,"Mc Arthur Highway, Angeles City, Pampanga",09958242882/ (045) 625-2999 Loc. 2601,aufmc_capalu@hotmail.com*,5181941,0,EXCELLENT,WMTL-PT-23-03023,,E
3,,III,03-003-21-LW-1,CABANATUAN CITY WATER DISTRICT WATER TESTING LABORATORY,"Maharlika Road Dicarma District, Cabanatuan City, Nueva Ecija",09209788099 / (044) 4631646 loc 505,ccwdwaterlab@gmail.com,5156192,0,EXCELLENT,WMTL-PT-23-03024,,E
3,,III,03-001-21-LW-2,CLARK WATER CORPORATION,"Depot 1901, Bicentennial Hill Clark Freeport Zone, Clarkfield, Pampanga",9997010020,al-shaimah.alonto@clarkwater.com,5189178,0,EXCELLENT,WMTL-PT-23-03025,,E
3,,III,03-001-20-LW-2,CRL ENVIRONMENTAL CORPORATION,"Bldg. 2 Berthaphil Compound 1, Berthaphil, Inc. Industrial Park, Jose Abad Santos Ave. Clark Freeport Zone, Pampanga",045-599-3943,crl@crllabs.com,5155860,0,EXCELLENT,WMTL-PT-23-03026,,E
3,,III,03-001-2224-LW-2,DIASERV LABORATORY WATER TESTING SERVICES,"Pinmara Square Building, Mac Arthur Highway, Sindalan, City of San Fernando, Pampanga",(045) 455-4984/ 09063643265,diaserv2000@gmail.com,5160008,1,HIGHLY SATISFACTORY,WMTL-PT-23-03027,,HS
3,,III,03-006-2224-LW-2,EMINENT WATER LABORATORY CENTER (SAN FERNANDO PAMPANGA BRANCH),"Blk 1 Lot 4B Benito St. Dolores Homesite Ext. 2, San Agustin, San Fernando, Pampanga",0922-8977869 / 045-3005956,jose_lim@eminentwater.com,5180495,0,EXCELLENT,WMTL-PT-23-03028,,E
3,,III,03-005-2224-LW-2,GLOBAL ELIXIR WATER LABORATORY CENTER/ AQUA LAB CENTER - PAMPANGA,477 CO KING BLDG Mc Arthur Highway Brgy. San Jose San Fernando Pampanga,09338673880/ (045) 624-2432,alcmayon@yahoo.com,5049288,0,EXCELLENT,WMTL-PT-23-03029,,E
3,,III,03-002-2224-LW-2,SUBIC WATER FREEPORT WATER LABORATORY,"BLD. 1855 Binictican, Subic Bay Freeport Zone, Olongapo City, Zambales",(047) 252-1122,julie.sapit@subicwater.com.ph,5177004,0,EXCELLENT,WMTL-PT-23-03030,,E
3,,III,03-004-2224-LW-1,TARLAC CITY WATER DISTRICT WATER LABORATORY,"TARLAC STA. ROSA ROAD BRGY. MALIWALO, TARLAC City, Tarlac",9235610488,tcwdwaterlab.primewatercorp@gmail.com,5235460,0,EXCELLENT,WMTL-PT-23-03031,,E
3,,III ,216,TARLAC PROVINCIAL HOSPITAL,"Hospital Drive Brgy. San vicente, Tarlac City, Tarlac",9088907879,laboratorytph@yahoo.com,5237194,0,EXCELLENT,WMTL-PT-23-03032,,E
3,,III,03-002-20-LW-2,THE FIRST ANALYTICAL SERVICES AND TECHNICAL COOPERATIVE LABORATORIES,"717 SNB Bldg. Magalang Road Pandan, Angeles City, Pampanga","09357054121/ 09176372043
/ (045) 457-0517",msjbangcac.fastlaboratories@gmail.com,5174911,1,HIGHLY SATISFACTORY,WMTL-PT-23-03033,,HS
4,,IV-A,4A-003-2325-LW-2,ACUAPHARMA INCORPORATED,"90 Gondola St., San Francisco Village Gate 2 Brgy. Muzon, Taytay Rizal",09179047001 / ,mgtena@acupharma.com,5250695,0,EXCELLENT,WMTL-PT-23-4A034,,E
4,,IV-A,4A-0002-2022-LW-2,ALPHA LABORATORY CALAMBA PHILIPPINES CORPORATION,"LTO Road, Real, Calamba, Laguna",09338140082/ (049) 545-9982,alphalabcalamba@gmail.com,5185122,0,EXCELLENT,WMTL-PT-23-4A035,,E
4,,IV-A,4A-0006-2224-LW-2,"AQUALAB ANALYTICAL SERVICES, INC.","Blk 39 Lot 1 Green Estate Phase 3 Malagasang I-G, Imus, Cavite",0919-087-4880/ (046) 6863704,microlab@aqualabph.com,5157765,0,EXCELLENT,WMTL-PT-23-4A036,,E
4,,IV-A,4A-0005-2325-LW-1,BATANGAS CITY WATER DISTRICT LABORATORY (JOINT VENTURE WITH PRIMWATER INFRASTRUCTURE CORP.),"KM 4 NATIONAL HI-WAY ALANGILAN, BATANGAS City, Batangas",09985903497/ (043) 723 4330,bcwd_lab@yahoo.com.ph,522607,0,EXCELLENT,WMTL-PT-23-4A037,,E
4,,IV-A,4A-0003-1820-LW-1,CALAMBA WATER DISTRICT,"St. Angela St. Lakeview Subd. Brgy. Halang, Calamba City, Calamba, Laguna",0917-5366100 / (049) 545-2863 loc 118,calambawaterdistrict@yahoo.com/ malourdes15@yahoo.com,5195962,0,EXCELLENT,WMTL-PT-23-4A038,,E
4,,IV-A,4A-0004-2325-LW-1,CAVITE WATER & WASTEWATER TESTING LABORATORY,"Provincial Capitol Compound Brgy. Luciano, TRECE MARTIRES CITY, Cavite",09199507918/ (046) 419 2085,cwwtl@ro4a.dost.gov.ph,5235149,0,EXCELLENT,WMTL-PT-23-4A039,,E
4,,IV-A,4A-006-17-LW-2,"COSMOLAB LABORATORIES, INC. ","B13 L13 Columbian Circle, Anahaw Homes, Brgy Dita, Sta. Rosa City Laguna",9399029402,cosmolab_laboratories@yahoo.com,5182150,1,HIGHLY SATISFACTORY,WMTL-PT-23-4A040,,HS
4,,IV-A,4A-008-2325-LW-1,DASMARIÑAS WATER DISTRICT WATER TESTING LABORATORY,"Camerino Avenue, City of Dasmariñas, Cavite",09773746206/ (046) 416-1236-37,dasmawaterlab@primeonline.onmicrosoft.com,5217922,1,HIGHLY SATISFACTORY,WMTL-PT-23-4A041,,HS
4,,IV-A,4A-0004-2224-LW-1,DEPARTMENT OF SCIENCE AND TECHNOLOGY,"Jamboree Road, brgy. Timugan, Los Baños Laguna",(049) 536-4390,rstl_dost4a2yahoo.com,5195362,0,EXCELLENT,WMTL-PT-23-4A042,,E
4,,IV-A,,F.A.S.T LABORATORIES - CALABARZON,"B1 L1 P1 Ponteverde de Sto. Tomas Brgy. San Rafael, Sto. Tomas, Batangas","09175626337/ 09175234365 
/ (045) 7230424",fastlabcalabarzon@gmail.com,51990221,0,EXCELLENT,WMTL-PT-23-4A043,,E
4,,IV-A,4A-0003-2224-LW-2,FIEL LABORATORIES AND ENTERPRISE,"New Diversion Road, Brgy. Banaba, San Pascual, Batangas",9174634927,bauanfiellaboratory@gmail.com,5227884,0,EXCELLENT,WMTL-PT-23-4A044,,E
4,,IV-A,4A-017-2224-LW-1,FOOD ANALYTICAL AND RESEARCH SERVICES LABORATORY,"SUMULONG, MORONG, Rizal",9061629989,foodtestlab@urs.edu.ph,5235937,0,EXCELLENT,WMTL-PT-23-4A045,,E
4,,IV-A,4A-0002-2123-LW-2,LAGUNA AAA WATER CORPORATION LABORATORY SERVICES SECTION,"8th North Science Avenue, Laguna Technopark Inc. Brgy. Biñan City, Laguna",9177001754,anna.gutierez@lagunawater.ph,5225765,1,HIGHLY SATISFACTORY,WMTL-PT-23-4A046,,HS
4,,IV-A,,LAGUNA PROVINCIAL HEALTH OFFICE WATER TESTING LABORATORY,"J. De Leon St., Santa cruz, Laguna",09223092350/ (049) 501 1630,rabdtrinidad@yahoo.com,5229412,1,HIGHLY SATISFACTORY,WMTL-PT-23-4A047,,HS
4,,IV-A,4A-0002-2224-LW-2,LEADSERV ANALYTICAL LABORATORY,"Lucena Diversion Road, Maharlika Hi-way, Tayabas Quezon ",9190847109,contact@leadservlab@yahoo.com,FOC,1,HIGHLY SATISFACTORY,WMTL-PT-23-4A048,,HS
4,,IV-A,4A-0001-2022-LW-2,LIPA QUALITY CONTROL CENTER INC.,"001 J.P. LAUREL NATIONAL HIGHWAY, PUROK 4, BRGY. SICO, LIPA, BATANGAS",09175745711 / (043) 7028417,lqcci_micro@yahoo.com,5158296,1,HIGHLY SATISFACTORY,WMTL-PT-23-4A049,,HS
4,,IV-A,04A-0006-2123-LW-1,METRO LIPA WATER DISTRICT LABORATORY,"Brgy. Balintawak, Lipa City, Batangas",9171370016,mlwdwqlaboratory@gmail.com,5218996,0,EXCELLENT,WMTL-PT-23-4A050,,E
4,,IV-A,4A-0005-2123-LW-2,"OPTIMAL LABORATORIES, INC","Purok 1, Brgy. Balintawak, Lipa City, Batangas",0917-7147928 / (043) 7745037,optimal_lab@hotmail.com,5157784,0,EXCELLENT,WMTL-PT-23-4A051,,E
4,,IV-A,4A-0001-18-LW-2,OSTREA MINERAL LABORATORIES INC.,"Brgy. Road Bo. Malampasan, BIÑAN Laguna",09178703393/ 02-88899058,mcfrente@ostrealabs.com.ph,5232427,1,HIGHLY SATISFACTORY,WMTL-PT-23-4A052,,HS
4,,IV-A,4A-012-2224-LW-2,SAN PABLO CITY WATER DISTRICT LABORATORY,"SPCWD Complex Brgy San Jose, SAN PABLO Laguna",09655738221/ (049) 502 8221,spcwdlaboratory@gmail.com,5235546,1,HIGHLY SATISFACTORY,WMTL-PT-23-4A053,,HS
4,,IV-A,4A-015-2224-LW-2,SCIENTIA TECH COMPANY,"267-269 Sumulong Highway Sitio Ruhat Brgy Mambugan Antipolo City, Rizal",9564383010,scientia.tech.co@gmail.com,5034096,0,EXCELLENT,WMTL-PT-23-4A054,,E
4,,IV-A,,SPC Microtech Analytical and Testing Laboratory,"618 Alvarez St., Brgy San Jose Malamig, San Pablo City, Laguna","0919-0834359 / 09272077865
/ (049) 5549892",archie.bello@spcmicrotech.com,5181946,2,ACCEPTABLE,WMTL-PT-23-4A055,,A
4,,IV-A,4A-002-1820-LW-2,"TECHNOPARK INDUSTRIAL LABORATORY, INC.","145 East main Avenue, loop St. Phase 6A, laguna Tenchnopark, Biñan, Laguna",0908805324 / 049-5026872,inquiry.tili@yahoo.com,5215453,0,EXCELLENT,WMTL-PT-23-4A056,,E
5,,IV-B,4B-010-2123-LW-1,DOST-MIMAROPA WATER TESTING LABORATORY,"DOST, Government center, Sta Monica, Puerto Princesa, Palawan",09178844332/ (048) 433 0489,rstl@mimaropa.dost.gov.ph,5233530,0,EXCELLENT,WMTL-PT-23-4B057,,E
5,,IV-B,4B-001-2123-LW-1,ENVIRONMENTAL SANITATION AND PUBLIC HEALTH LABORATORY,"PRIMM Bldg. SPS Government Center PEO Compound, Puerto Princesa, Palawan",9189628098,phopalawanlaboratory@gmail.com,5240669,2,ACCEPTABLE,WMTL-PT-23-4B058,,A
5,,IV-B,04B-376-18-30-H1-2,LUNA GOCO MEDICAL CENTER,"J.P. Rizal St. Calapan City, Oriental Mindoro, Calapan City, Oriental Mindoro",9190979152,lgmcpathology@gmail.com,5160039,0,EXCELLENT,WMTL-PT-23-4B059,,E
5,,IV-B,,PUERTO PRINCESA CITY WATER DISTRICT-WATER TESTING LABORATORY,"SOUTH NATIONAL HIGHWAY BRGY. STA. MONICA, Puerto Princesa Palawan",09171442006/ (048) 716 2998,ppcwdwgd@gmail.com,5243621,2,ACCEPTABLE,WMTL-PT-23-4B060,,A
6,,V,05-0001-2224-LW-1,CAMARINES NORTE WATER DISTRICT LABORATORY,"Vinzons Avenue, Lag-On, DAET, Camarines Norte",09988423856/ (054) 885 0913 Loc 611,cnwdlab@gmail.com,5233503,1,HIGHLY SATISFACTORY,WMTL-PT-23-05061,,HS
6,,V,05-0002-2022-LW-1,CAMARINES SUR PHO WATER ANALYSIS LABORATORY,"Banasi, Bula, Camarines Sur",9054261494,camsurhpowaterlab@gmail.com,5246038,2,ACCEPTABLE,WMTL-PT-23-05062,,A
6,,V,05-0001-2022-LW-1,DOST-V REGIONAL STANDARDS AND TESTING LABORATORIES,"Regional Center Site, Rawis, Legaspi City, Albay",9185006746,rstl@ro5.dost.gov.ph,5190030,1,HIGHLY SATISFACTORY,WMTL-PT-23-05063,,HS
6,,V,05-0001-2325-LW-2,H3g LABORATORY WATER TESTING SERVICES,"4 DKC Bldg. F. Aquende Drive Brgy. 08 Bagumbayan, Legaspi City",9993188041,h3gwatertesting@gmail.com,5182473,2,ACCEPTABLE,WMTL-PT-23-05064,,A
6,,V,05-007-2022-LW-1,METROPOLITAN NAGA WATER DISTRICT,"40 J. MIRANDA AVENUE, NAGA CITY, Camarines Sur",09955107391/ 472 1685 loc 122,mnwd.laboratory@gmail.com,5219896,1,HIGHLY SATISFACTORY,WMTL-PT-23-05065,,HS
7,,VI,06-013-2224-LW-2,ACA WATER ANALYSIS AND LABORATORY SERVICES INC.,"120 AVANCEÑA ST., Iloilo City",09178922884/ (33) 332 9482,iloacalaboratory@gmail.com,5227084,2,ACCEPTABLE,WMTL-PT-23-06066,,A
7,,VI,06-002-2224-LW-1,AKLAN FOOD AND WATER TESTING LABORATORY,Right Wing Provincial capitol Annex Building ,(036) 272 7000 Loc 6300,akenrolaboratory@yahoo.com.ph,5233513,0,EXCELLENT,WMTL-PT-23-06067,,E
7,,VI,06-001-20-LW-2,"ASTS ANALYTICAL SOLUTIONS AND TECHNICAL SERVICES ILOILO, INC.","Jalandoni Estate, Lapuz, Iloilo City",0917-3058082 / (033) 5014269,astslabiloilo@yahoo.com,5161768,0,EXCELLENT,WMTL-PT-23-06068,,E
7,,VI,06-003-2224-LW-2,BORACAY ISLAND WATER COMPANY INC.,"STP ACCESS ROAD NEAR BLOOMFIELD ACADEMY BALABAG, MALAY Aklan",09281817130/ 0362886622,irene.velado@boracaywater.com.ph,5240181,0,EXCELLENT,WMTL-PT-23-06069,,E
7,,VI,LA-2021-382A,"CENTRALIZED ANALYTICAL LABORATORY, LABORATORY FACILITIES FOR ADVANCED AQUACULTURE TECHNOLOGIES, SEAFDEC/AQD","Brgy. Buyu-an Tigbauan, Iloilo City",9752593401,lfaat@seafdec.org.ph,5190637,0,EXCELLENT,WMTL-PT-23-06070,,E
7,,VI,06-002-2325-LW-1,DEPARTMENT OF SCIENCE AND TECHNOLOGY REGION VI- REGIONAL STANDARDS AND TESTING LABORATORY,"Magsaysay Village, La Paz, Iloilo City",09088917085/ (033) 320 1565 loc 108,rstl@ro6.dost.gov.ph,5227868,2,ACCEPTABLE,WMTL-PT-23-06071,,A
7,,VI,06-001-2325-LW-2,GEM'S AQUA WATER ANALYSIS LABORATORY,"Burgos Ilawod , ROXAS CITY, Capiz",9956430261,juancyril17@yahoo.com,5235458,2,ACCEPTABLE,WMTL-PT-23-06072,,A
7,,VI,06-0001-2123-LW-2,JB FASTEST WATER TEST CO.,"78 Hechanova Street, Brgy. Nabitasan, Lapaz, Iloilo City",0917-7995617 / (033) 5094164,jbwaterlab@yahoo.com,5156829,1,HIGHLY SATISFACTORY,WMTL-PT-23-06073,,HS
7,,VI,06-004-2224-LW-1,MALAY MUNICIPAL HEALTH OFFICE CLINICAL LABORATORY,"MHO BUILDING POBLACION, MALAY, Aklan",09399023361/ (036) 288 8718,mhomalay@gmail.com,5219313,0,EXCELLENT,WMTL-PT-23-06074,,E
7,,VI,06-0003-2123-LW-2,"W.J VILLANUEVA, INC","#8 16th Lacson St. Bacolod, Negros Occidental",0933291515/ (034) 4333935,labvclbcld@gmail.com / advcl1031@yahoo.com,5009807,0,EXCELLENT,WMTL-PT-23-06075,,E
7,,VI,06-06-089-14-300-H3-1,WESTERN VISAYAS MEDICAL CENTER,"Q. Abeto Street Mandurriao, Iloilo City",0917-7200915 / 321-2841 loc 239,wateranalysiswvmc@gmail.com,5162744,2,ACCEPTABLE,WMTL-PT-23-06076,,A
8,,VII,07-04-2021-LW-2,ALTECE MACTAN WATER TESTING LABORATORY,"ROOM 201, 711 BLDG, M.L QUEZON NATIONAL HIGHWAY, BRGY PAJO, LAPU-LAPU, CEBU",09653367672 / 09367126524 / 032-343-4857,altecemactan.lab@gmail.com,5204686,0,EXCELLENT,WMTL-PT-23-07077,,E
8,,VII,07-03-2022-LW-1,BOHOL PROVINCIAL HEALTH OFFICE WATER TESTING LABORATORY,"DAO DISTRICT, TAGBILARAN City, Bohol",09433074468/ 09274287754,boholwaterlaboratory@gmail.com,5224089,0,EXCELLENT,WMTL-PT-23-07078,,E
8,,VII,07-001-2224-LW-2,CEBU AGUA LAB INC.,"6th Floor ADG IT Center, Lopez Street Subangdaku, MANDAUE, Cebu",09064452601/ (032) 342 0436,cebuagualabinc@gmail.com,5236278,0,EXCELLENT,WMTL-PT-23-07079,,E
8,,VII,07-WL-2014-005-G,CEBU CITY HEALTH DEPARTMENT,"GEN. MAXILOM AVENUE CARRETA, CEBU",9955576351,cchd.laboratory@gmail.com,5237678,0,EXCELLENT,WMTL-PT-23-07080,,E
8,,VII,07-007-2224-LW-1,DOH CENTRAL VISAYAS WATER TESTING LABORATORY,"DOH-CVCHD, Cebu South Road Properties, Cebu City ",09275548237/ 09451374068,waterbacte.doh@gmail.com,5193070,0,EXCELLENT,WMTL-PT-23-07081,,E
8,,VII,07-WTL-2017-003-G,DOST RG 7 - REGIONAL STANDARDS AND TESTING LAORATORY,S&T COMPLEX SUDLON LAHUG CEBU CITY,3274441146,rstl@region7.dost.gov.ph,5230218,1,HIGHLY SATISFACTORY,WMTL-PT-23-07082,,HS
8,,VII,07-01-2021-LW-2,ENVIRONMENTAL HEALTH LABORATORY SERVICES COOPERATIVE,"2ND FLOOR 057A, 5TH ST., SUN VALLEY DRIVE, BRGY CALAMBA, V. RAMA DRIVE, CEBU",09088732106 / (032) 342-2315,ehlscooperativecebu@yahoo.com,5189161,2,ACCEPTABLE,WMTL-PT-23-07083,,A
8,,VII,07-01-2022-L2-2,INTERTEK TESTING SERVICES PHILIPPINES INC,"Door 3 TTI Bldg. Northroad Tabok, MANDAUE, Cebu",9989607163,foodcebu@intertek.com,5180442,1,HIGHLY SATISFACTORY,WMTL-PT-23-07084,,HS
8,,VII,07-05-2022-LW-2,MACTAN ROCK INDUSTRIES INC,"SUBA-MASULOG, BASAK, Lapu-Lapu City, Cebu",09992264587/ (032) 414 1483,sales@mactanrock.com,5228161,0,EXCELLENT,WMTL-PT-23-07085,,E
8,,VII,07-018-2224-LW-2,MANDAUE LABORATORY WATER TESTING SERVICES,"UNIT 305 AWPM BLDG MC BRIONES ST MANDAUE CITY, CEBU",09680019813/ (032) 503-5636,mandauewaterlab@gmail.com,5223149,2,ACCEPTABLE,WMTL-PT-23-07086,,A
8,,VII,07-WTL-2018-005-G,METROPOLITAN CEBU WATER DISTRICT,"NASIPIT, TALAMBAN, CEBU CITY, CEBU",09568472981 / 032-3444384,orlilourdesm@yahoo.com,5073301,0,EXCELLENT,WMTL-PT-23-07087,,E
8,,VII,07-010-2022-LW-2,OSTREA MINERAL LABORATORIES INC.,"RJ Ouano Bldg. M.C Briones St., bakilid, MANDAUE, Cebu ",09985798461/ (032) 343-6472,sheenajoycadelinia.ostrealabs@gmail.com,5232428,1,HIGHLY SATISFACTORY,WMTL-PT-23-07088,,HS
8,,VII,07-006-2018-LW-2,"SGS PHILIPPINES, INC.","Maximo Patalinghug Jr. Avenue, Basak, Lapu-Lapu City, Cebu",09178328417/ 7849400,rosario.castillo@sgs.com,5158125,0,EXCELLENT,WMTL-PT-23-07089,,E
8,,VII,07-07-2021-LW-2,TALISAY WATER LAB,"SANGI, TABUNOK, TALISAY city, Cebu",09228910108 / (032) 272-7739,talisaywaterlab@yahoo.com,5007540,0,EXCELLENT,WMTL-PT-23-07090,,E
8,,VII,07-002-2022-LW-2,TECHNOLAB ANALYTICAL GROUP INC.,"701 ML Quezon St., Brgy. Casuntingan, MANDAUE City, Cebu",09177063927/ (032) 505 6532,Technolab.tagi@gmail.com,5227871,0,EXCELLENT,WMTL-PT-23-07091,,E
8,,VII,07-001-20-LW-2,THE FIRST ANALYTICAL SERVICES AND TECHNICAL COOPERATIVE (F.A.S.T. Lab),"HI-WAY CENTRAL BLDG, MC BRIONES HIGHWAY, BRGY GUIZO, MANDAUE CITY, CEBU",09176738797/ (032) 5038272,fastmandaue@gmail.com,5214427,0,EXCELLENT,WMTL-PT-23-07092,,E
8,,VII,07-004-20-LW-2,UNIVERSITY OF SAN CARLOS WATER LABORATORY,"NASIPIT, TALAMBAN, CEBU CITY, CEBU",(032) 345-3811 / (032) 2300100 loc. 110,waterlab@usc.edu.ph,5167992,1,HIGHLY SATISFACTORY,WMTL-PT-23-07093,,HS
8,,VII,,VICENTE SOTTO MEMORIAL MEDICAL CENTER,"B. RODRIGUEZ ST., CEBU City",09209707690/ (032) 263 5349,pathology@vsmmc.doh.gov.ph,5226076,0,EXCELLENT,WMTL-PT-23-07094,,E
9,,VIII,08-008-2224-LW-2,CALBAYOG WATER COMPANY INC.,"Purok 4 Brgy. Capoocan, CALBAYOG SAMAR",9178188563,janice.maribojoc@manilawater.com,5178212,2,ACCEPTABLE,WMTL-PT-23-08095,,A
9,,VIII,08-001-2224-LW-1,DEPARTMENT OF SCIENCE AND TECHNOLOGY 8 - REGIONAL STANDARDS AND TESTING LABORATORY,"Brgy. Candahug, Government Center, Palo Leye",09366859286/ 09362146681,manzl1203@region8.dost.gov.ph,5189139,0,EXCELLENT,WMTL-PT-23-08096,,E
9,,VIII,08-04-1921-LW-1,EASTERN VISAYAS MEDICAL CENTER,"magsaysay blvd., Brgy 1&4 Libertad, TACLOBAN, Leyte",9275907106,evrmcpathology2018@gmail.com,5236997,2,ACCEPTABLE,WMTL-PT-23-08097,,A
9,,VIII,08-006-224-LW-2,NORTHERN SAMAR PROVINCIAL HOSPITAL,"Balite St. Brgy. Acacia, Catarman Northern Samar ",5235556,nsphlab@yahoo.com,5235556,2,ACCEPTABLE,WMTL-PT-23-08098,,A
