region_id,la,region,acc,name,address,contact,email,lab_email,hol,or,rate,perf,no,,perf_model
15,SAN FERNANDO CITY,1,93,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,"MCARTHUR HIGHWAY, BRGY PARIAN, SAN FERNANDO CITY, LA UNION",(072)607 6418 loc 158,itrmc.microbiology@gmail.com,itrmc.microbiology@gmail.com,BRENDA I. ROSUMAN,5557136,0,EXCELLENT,WMTL-PT-25-01012,,E
15,MALASIQUI,1,01-0005-2426-LW-2,NORTHERN PHILIPPINES WATER LABORATORY INC.,"375 BRGY TOBOR, MALASIQUI, PANGASINAN",9124697479,northernphwaterlabinc@gmail.com,northernphwaterlabinc@gmail.com,JAY-LORD P. VILORIA,5507789,1,HIGHLY SATISFACTORY,WMTL-PT-25-01013,,HS
15,LINGAYEN CITY,1,01-0001-2325-LW-1,PROVINCIAL WATER BACTERIOLOGICAL LABORATORY,"SOLIS ST., LINGAYEN DISTRICT HOSPITAL COMPOUND, LINGAYEN CITY, PANGASINAN",09957568832 / 075-522-2295 / 09338193253,will_deguzman@yahoo.com,will_deguzman@yahoo.com,SHELDON STEVEN C. AQUINO,5595523,1,HIGHLY SATISFACTORY,WMTL-PT-25-01014,,HS
15,DAGUPAN CITY,1,DOH 000273,REGION 1 MEDICAL CENTER,"ARELLANO ST., DAGUPAN CITY, PANGASINAN",09173969341 / (075) 515-8916 loc 145,region1mclab@gmail.com,region1mclab@gmail.com,SHELDON STEVEN C. AQUINO,5591243,0,EXCELLENT,WMTL-PT-25-01015,,E
15,BACARRA,1,01-0002-2224-LW-2,SANDUGO MULTI PURPOSE COOPERATIVE,"40 NATIONAL HIGHWAY, BUYON, BACARRA, ILOCOS NORTE",09499043389 / 63776760691 / 09177226607,lab@crystaldewddw.com,lab@crystaldewddw.com,ROLANDO A. DUQUEZ,5501973,2,ACCEPTABLE,WMTL-PT-25-01016,,A
15,TUGUEGARAO CITY,2,02-005-2325-LW-1,CAGAYAN VALLEY CENTER FOR HEALTH DEVELOPMENT REGIONAL WATER LABORATORY ,"MAHARLIKA HIGHWAY, CARIG NORTE, TUGUEGARAO CITY, CAGAYAN",9755457843,waterlab@ro2.doh.gov.ph,waterlab@ro2.doh.gov.ph,BRENDALYN A. GALLEBO,5609923,0,EXCELLENT,WMTL-PT-25-02017,,E
15,TUGUEGARAO CITY,2,03-02-292-14-500-H3-I,CAGAYAN VALLEY MEDICAL CENTER - WATER BACTERIOLOGY,"02 DALAN NA PAGAYAYA, REGIONAL GOVERNMENT CENTER, CARIG SUR, TUGUEGARAO CITY, CAGAYAN",09358832529 / (078) 302-0000-1017 / 09175781733,cvmcbacteriology@gmail.com,cvmcbacteriology@gmail.com,SARAJANE U. BALISI,5590142,0,EXCELLENT,WMTL-PT-25-02018,,E
15,CAUAYAN CITY,2,02-02-2325-LW-1,CAUAYAN CITY WATER DISTRICT,"LA CONSOLACION NISPEROS ST. CABARUAN, CAUAYAN CITY, ISABELA",09178259435 / (078)652-5237, ccwd_waterlaboratory@yahoo.com, ccwd_waterlaboratory@yahoo.com,MILA AMOR V. REYES,5528701,2,ACCEPTABLE,WMTL-PT-25-02019,,A
15,ISABELA CITY,2,02-28-24-H1-I,GOV. FAUSTINO N. DY SR. MEMORIAL HOSPITAL,"CALAMAGUI 2ND, ISABELA CITY, ISABELA",09773075440 / (078) 624-00-36 / 09189092747,gfndsmh@yahoo.com.ph,gfndsmh@yahoo.com.ph,MILA AMOR V. REYES,5531004,0,EXCELLENT,WMTL-PT-25-02020,,E
15,TUGUEGARAO CITY,2,02-01-2325-LW-1,METROPOLITAN TUGUEGARAO WATER DISTRICT - WATER LABORATORY,"MAIN AVENUE SAN GABRIEL, TUGUEGARAO CITY, CAGAYAN",09176308068 / (078)844-1586,waterlab@mtwd.gov.ph,waterlab@mtwd.gov.ph,SARAJANE U. BALISI,5539108,0,HIGHLY SATISFACTORY,WMTL-PT-25-02021,,HS
15,BAYOMBONG,2,02-11925-CL-1,NUEVA VIZCAYA PROVINCIAL PUBLIC HEALTH LABORATORY,"CAPITOL COMPOUND, DISTRICT IV, BAYOMBONG, NUEVA VIZCAYA",09171197441 / 09175784257,pho.labnv@yahoo.com,pho.labnv@yahoo.com,NATHANAEL B. VIDAD,5594777,0,EXCELLENT,WMTL-PT-25-02022,,E
15,SANTIAGO CITY,2,02-001-22-LW-1,SANTIAGO WATER DISTRICT WATER LABORATORY,"SANWAD WATER TREATMENT PLANT - MABINI , SANTIAGO CITY, ISABELA",09175547722 / (078)3051131,sanwadwaterlab@yahoo.com,sanwadwaterlab@yahoo.com,DIWATA GRACE F. BAUSA,5551446,0,EXCELLENT,WMTL-PT-25-02023,,E
15,MALOLOS CITY,3,03-001-2527-LW-2,AMEER DIAGNOSTIC LABORATORY,"A. MABINI ST. MOJON, MALOLOS CITY, BULACAN",09255255504 / (044) 798-6332 / 09178852062,ameerdtl_lab@yahoo.com,ameerdtl_lab@yahoo.com,SUSANA P. QUIAOIT,5530417,0,EXCELLENT,WMTL-PT-25-03024,,E
15,ANGELES CITY,3,03-003-2325-LW-1,ANGELES CITY WATER DISTRICT LABORATORY,"ANGELES CITY WATER DISTRICT CENTRAL RESERVOIR COMPLEX, FRIENDSHIP HI-WAY, STO DOMINGO, ANGELES CITY, PAMPANGA",09603841513 / 09496222220,acwdlab@yahoo.com / acwdlab@gmail.com /,acwdlab@yahoo.com / acwdlab@gmail.com /,OLIVER JOSE Q. PANLILIO,5508066,0,EXCELLENT,WMTL-PT-25-03025,,E
15,ANGELES CITY,3,03-00034-24-H3-2,ANGELES UNIVERSITY FOUNDATION MEDICAL CENTER,"MCARTHUR HI-WAY, ANGELES CITY, PAMPANGA",9626276196,aufmclaboratory6@gmail.com / aufmccapalm.microbiology@gmail.com,aufmclaboratory6@gmail.com / aufmccapalm.microbiology@gmail.com,REMEDIOS O. OMG,5481471,0,EXCELLENT,WMTL-PT-25-03026,,E
15,BALANGA CITY,3,03-0020-24-H3-1,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER,"MANAHAN ST., TENEJERO, BALANGA CITY, BATAAN",047-237-1275 loc. 6036,dpl.bghmc@gmail.com,dpl.bghmc@gmail.com,JEFFERSON B. MENDOZA,5601895,1,ACCEPTABLE,WMTL-PT-25-03027,,A
15,CABANATUAN CITY,3,03-002-2426-LW-1,CABANATUAN CITY WATER DISTRICT WATER TESTING LABORATORY,"MAHARLIKA ROAD DICARMA DISTRICT, CABANATUAN CITY, NUEVA ECIJA",09209788099 / (044) 463-1643 loc 505,ccwdwaterlab@gmail.com,ccwdwaterlab@gmail.com,SUSANA P. QUIAOIT,5459606,0,EXCELLENT,WMTL-PT-25-03028,,E
15,ANGELES CITY,3,03-001-21-LW-2,CLARK WATER CORPORATION,"DEPOT 1901 BICENTENNIAL HILL, CLARK FREEPORT ZONE, ANGELES CITY, PAMPANGA",(045)5995757 loc. 130,rialyn.valencia@clarkwater.com,lyn.zamora@manilawater.com,LYN JOCEFFIN D. ZAMORA,5562718,0,EXCELLENT,WMTL-PT-25-03029,,E
15,SUBIC,3,03-001-2325-LW-2,CRL ENVIRONMENTAL CORPORATION,"BLDG 2 BERTHAPHIL COMPOUND 1, BERTHAPHIL, INC., JOSE ABAD SANTOS AVE., CLARK FREEPORT ZONE, SUBIC, PAMPANGA",045-599-3943 / 09175276352,carmela.capule@crllabs.com,crl@crllabs.com,MARIA CARMELA Q. CAPULE,5482111,0,EXCELLENT,WMTL-PT-25-03030,,E
15,SAN FERNANDO CITY,3,03-001-2224-LW-2,DIASERV LABORATORY WATER TESTING SERVICES,"PINMARA SQUARE BUILDING, MAC ARTHUR HIGHWAY, SAN FERNANDO CITY, PAMPANGA",09063643265 / (045) 409-8251 ,diaserv2000@gmail.com,diaserv2000@gmail.com,JOCELYN Q. GACASAN,5475514,0,EXCELLENT,WMTL-PT-25-03031,,E
15,SAN SIMON,3,03-010-2325-LW-2,ECHEM ENVIRONMENTAL TESTING LABORATORY CORPORATION,"BLK 22 LOT 6A GOLDEN SUN 999 INDUSTRIAL PARK, QUEZON ROAD, SAN PABLO LIBUTAD, SAN SIMON, PAMPANGA",09171006320 / (045) 435-2795,echemenvironmental@gmail.com / supervisingchemist@echemenvironmental.com,supervisingchemist@echemenvironmental.com,MAY ANN M. ESTAVILLO,5572172,0,EXCELLENT,WMTL-PT-25-03032,,E
15,SAN FERNANDO CITY,3,03-004-2527-LW-2,EMINENT WATER LABORATORY CENTER - PAMPANGA,"BLK 1 LOT 4B BENITO ST. DOLORES HOMESITE EXTN 2 SAN AGUSTIN, SAN FERNANDO CITY, PAMPANGA",09228977869 / (045) 300-5956 / 8365-57811 / 09777838249,jose_lim@eminentwater.com,sheryl_asurero@eminentwater.com,SHERYL O. TESORIO,5525376,0,EXCELLENT,WMTL-PT-25-03033,,E
15,SAN FERNANDO CITY,3,03-006-2325-LW-2,"GLOBAL ELIXIR WATER LABORATORY CENTER, INC (AQUA LAB PAMPANGA)","477 CO-KING BLDG, MC ARTHUR HIGHWAY, CO-KING BLDG, SAN JOSE, SAN FERNANDO CITY, PAMPANGA",09338673880 / (045) 624-2432,alcmayon@yahoo.com,alcmayon@yahoo.com,GABRIEL J. CRUZ,5461485,0,EXCELLENT,WMTL-PT-25-03034,,E
15,PORAC,3,03-004-2426-LW-2,OPHIR GENRIME LABORATORIES CO. LTD,"3RD FLOOR EPL BLDG. GEN LUNA ST. BRGY BABO SACAN, PORAC, PAMPANGA",09171733934 / (045) 457-3183,ophir.genprime.lab@gmail.com,ophir.genprime.lab@gmail.com,GLENN MARK C. BORRES,5459006,1,HIGHLY SATISFACTORY,WMTL-PT-25-03035,,HS
15,SANTA MARIA,3,03-XXX-XXXX-XX-X,"POULTRYMAX OMNIS, INC. POULTRY DIAGNOSTIC LABORATORY","STAM 1 PLANT, STA. MARIA INDUSTRIAL PARK (SMIP), BRGY MULAC, SANTA MARIA, BULACAN",9178896254,aleya.quiamco@poultry max.ph,aleya.quiamco@poultry max.ph,ALEXA ALBERT R. QUIAMCO,5598818,0,EXCELLENT,WMTL-PT-25-03036,,E
15,MARILAO CITY,3,03-003-2426-LW-2,PRECISIONE INTERNATIONAL RESEARCH AND DIAGNOSTIC LABORATORY INC,"SAN JOSE - MARILAO ROAD, SANTA ROSA 1, MARILAO CITY, BULACAN",09498815601 / (02) 834 3033 loc 184 and 188 / 09089814086,pird_dls@precisionelab.com,jcgregorio@precisionelab.com,JOHN CARLO R. GREGORIO,5591246,0,EXCELLENT,WMTL-PT-25-03037,,E
15,TARLAC CITY,3,DOH050273,SCIENTIA TECH COMPANY,"JJJ REVITA BUILDING, SITIO PAG-ASA, TARLAC CITY, TARLAC",09564383010 / (02) 8697-5364 / (02) 8584-2241,scientia.tech.co@gmail.com,scientia.tech.co@gmail.com,CHRISTIAN JAY B. CAMBIADOR,5477933,0,EXCELLENT,WMTL-PT-25-03038,,E
15,OLONGAPO CITY,3,03-003-2527-LW-2,SUBIC WATER FREEPORT WATER LABORATORY,"BLDG 1855, BINICTICAN, SUBIC BAY FREEPORT ZONE, OLONGAPO CITY, ZAMBALES",09171499183 / (047) 252-1122,julie.sapit@subicwater.com.ph,julie.sapit@subicwater.com.ph,JULIE MARIE M SAPIT-GUEVARRA,5542687,0,EXCELLENT,WMTL-PT-25-03039,,E
15,TARLAC CITY,3,03-005-2527-LW-1,TARLAC CITY WATER DISTRICT WATER LABORATORY,"TARLAC-STA.ROSA ROAD, BRGY MALIWALO, TARLAC CITY, TARLAC",09395015777 / 09235610488 ,tcwdwaterlab.primewatercorp@gmail.com,tcwdwaterlab.primewatercorp@gmail.com,LAIZA DIANNE E. MAGSINO,5595142,0,EXCELLENT,WMTL-PT-25-03040,,E
15,TARLAC CITY,3,216,TARLAC PROVINCIAL HOSPITAL,"HOSPITAL DRIVE, BRGY SAN VICENTE, TARLAC CITY, TARLAC",09088907879 / 09165162131,laboratorytph@yahoo.com,laboratorytph@yahoo.com,MICHELLE T. MIRANDA,5601897,0,EXCELLENT,WMTL-PT-25-03041,,E
15,TAYTAY,4A,4A-003-2325-LW-2,ACUAPHARMA INC.,"90 GONDOLA ST. SAN FRANCISCO VILLAGE GATE 2 BRGY. MUZON, TAYTAY, RIZAL",09171476081 / 09179047001 / 09171574511,acuapharma.inc@gmail.com,mgtena@acuapharma.com,SHARA MAE T. COLEGIO,5504506,0,EXCELLENT,WMTL-PT-25-4A042,,E
15,CALAMBA,4A,4A-0004-2325-LW-2,ALPHA LABORATORY CALAMBA PHILIPPINES CORPORATION,"LTOROAD, BRGY REAL, CALAMBA, LAGUNA",09338140082 / 09175785361 / 049-545-9982 / 049-536-8443 / 09176329502,alphalab.information@gmail.com / alphalabcalamba@gmail.com,alphalab.information@gmail.com / alphalabcalamba@gmail.com,JAY-AR ROSARIO,5475510,0,ACCEPTABLE,WMTL-PT-25-4A043,,A
15,IMUS CITY,4A,4A-0005-2527-LW-2,"AQUALAB ANALYTICAL SERVICES, INC.","BLK 39 LOT 1 GREEN ESTATE PHASE 3, MALAGASANG 1-G, IMUS CITY, CAVITE",09190874880 / (046) 686-3704,microlab@aqualabph.com,info@aqualab.ph.com,PAOLO ANTONIO E. CLEMENTE,5528862,0,EXCELLENT,WMTL-PT-25-4A044,,E
15,STO. TOMAS CITY,4A,DOH051411,ASIAPHIL LABORATORY,"SECTION 1, BLK 3, LOT 5A, PH.1, BLUE ISLE SUBDIVISION, BRGY STA. MARIA, STO. TOMAS CITY, BATANGAS",09285203229 / 09957365980 / (043) 786-8750 / 09178714218,asiaphillaboratory@gmail.com,asiaphillaboratory@gmail.com,GRANVILLE T. VOSOTROS,5530423,0,EXCELLENT,WMTL-PT-25-4A045,,E
15,BATANGAS CITY,4A,4A-0005-2325-LW-1,BATANGAS CITY WATER DISTRICT LABORATORY (JOINT VENTURE W/ PRIMEWATER INFRASTRACTURE CORP),"KM 4 NATIONAL HIGHWAY, ALANGILAN, BATANGAS CITY, BATANGAS",09985903497 / (043) 723-4330,bcwd_lab@yahoo.com.ph,bcwd_lab@yahoo.com.ph,JENETH S. CATAPANG,5537519,0,EXCELLENT,WMTL-PT-25-4A046,,E
15,CALAMBA,4A,DOH053526,CALAMBA WATER DISTRICT,"PUROK 4,  BRGY BUCAL, CALAMBA, LAGUNA",9178472301,paderesethel18@gmail.com,paderesethel18@gmail.com,ETHEL O. PADERES,555440,0,EXCELLENT,WMTL-PT-25-4A047,,E
15,CARMONA,4A,4A-0006-2325-LW-1,CARMONA WATER LABORATORY,"252 SAN JOSE STREET BRGY 2 (POBLACION), CARMONA, CAVITE",09267771006 / (046) 443-5397 / 09189253901,mho.carmona@gmail.com / carmonawaterlab@gmail.com,carmonawaterlab@gmail.com,ROMIL M. AGUIRRE,5587506,0,HIGHLY SATISFACTORY,WMTL-PT-25-4A048,,HS
15,LIPA CITY,4A,DOH053360,CHEMPRO ANALYTICAL SERVICES LABORATORIES INC - BATANGAS,"44 LOBRIN ST., LIPA CITY, BATANGAS",9351232272,chemprolaboratories@gmail.com,chemprolaboratories@gmail.com,RYAN PAUL CHRISTIAN RAÑADA,5633703,0,EXCELLENT,WMTL-PT-25-4A049,,E
15,SANTA ROSA,4A,4A-0003-2325-LW-2,"COSMOLAB LABORATORIES, INC","B13 LB, COLUMIAN CIRCLE, ANAHAW HOMES. BRGY DITA, SANTA ROSA, LAGUNA",09399029402 / (049) 502-8133,cosmolab_laboratories@yahoo.com,cosmolab_laboratories@yahoo.com,JOVEN M. MARAVILLA,5595057,0,EXCELLENT,WMTL-PT-25-4A050,,E
15,ROSARIO,4A,DOH051508,CRL CALABARQUEZ CORPORATION,"CEZ LABORATORY, ROAD B, PHASE IV-EXPANSION, CAVITE ECONOMIC ZONE, ROSARIO, CAVITE",046-4587215 / 09175276352,cezlab@crllabs.com,cezlab@crllabs.com,MARIA CARMELA Q. CAPULE,5556326,0,HIGHLY SATISFACTORY,WMTL-PT-25-4A051,,HS
15,DASMARIÑAS CITY,4A,4A-0008-2325-LW-1,DASMARINAS WATER DISTRICT - WATER TESTING LABORATORY,"CAMERINO AVENUE, DASMARIÑAS CITY, CAVITE", 09612707106 / 09190771817,dwd.watertestinglab@gmail.com,dwd.watertestinglab@gmail.com,DOREEN C. VICENTA,5593433,1,HIGHLY SATISFACTORY,WMTL-PT-25-4A052,,HS
15,TRECE MARTIRES CITY,4A,4A-0004-2325-LW-1,DOST IV-A CAVITE WATER & WASTEWATER TESTING LABORATORY,"PROVINCIAL CAPITOL COMPOUND BRGY. LUCIANO, TRECE MARTIRES CITY, CAVITE",09199507918 / (046) 514-2360,cwwtl@ro4a.dost.gov.ph,cwwtl@ro4a.dost.gov.ph,VERSO ANGELIE M. SISANTE,5595761,0,EXCELLENT,WMTL-PT-25-4A053,,E
15,STO. TOMAS CITY,4A,4A-004-2325-LW-2,F.A.S.T LABORATORIES - CALABARZON,"BLOCK 1, LOT 2, PHASE 1 PONTE VERDE DE STO. TOMAS, BRGY SAN RAFAEL, STO. TOMAS CITY, BATANGAS",09175234365 / (043) 723-0424,fastlabcalabarzon@gmail.com,microcalamba@gmail.com,REY CHRISTAN S. MARBELLA,5492124,0,EXCELLENT,WMTL-PT-25-4A054,,E
15,SAN PASCUAL,4A,DOH051265,FIEL LABORATORIES AND ENTERPRISE,"NEW DIVERSION ROAD, BANABA, SAN PASCUAL, BATANGAS",09174634927 / 09178770936,bauanfiellaboratory@gmail.com,bauanfiellaboratory@gmail.com,MARIVIC P. ESMAS,5591244,0,EXCELLENT,WMTL-PT-25-4A055,,E
15,TRECE MARTIRES CITY,4A,DOH004417,GENERAL EMILIO AGUINALDO MEMORIAL HOSPITAL,"BRGY LUCIANO, TRECE MARTIRES CITY, CAVITE",9452030219,cpdwaterlaboratory@gmail.com,cpdwaterlaboratory@gmail.com,BERNARDITA M. FIGUEROA,5645861,0,EXCELLENT,WMTL-PT-25-4A056,,E
15,BIÑAN CITY,4A,4A-0005-2426-LW-2,LAGUNA AAA WATER CORP,"8TH NORTH SCIENCE AVENUE LTIS5TP, BIÑAN CITY, LAGUNA",9177001454,anna.gutierrez@lagunawater.ph / nowel.ramos@lagunawater.ph,kristeen.alday@lagunawater.ph,ANNE KARLA S. GUTIEREZ,5482122,0,EXCELLENT,WMTL-PT-25-4A057,,E
15,TAYABAS CITY,4A,4A-0002-2224-LW-2,LEADSERV ANALYTICAL LABORATORY,"LUCENA DIVERSION RD, MAHARLIKA HIGHWAY, BRGY. MAYOWE, TAYABAS CITY, QUEZON",09190847109 / 09338215108 ,leadservlab@gmail.com / lcadiente@yahoo.com,leadservlab@gmail.com / lcadiente@yahoo.com,LENNON CADIENTE,NO PAYMENT,1,HIGHLY SATISFACTORY,WMTL-PT-25-4A058,,HS
15,LIPA CITY,4A,4A-0007-2325-LW-2,LIPA QUALITY CONTROL CENTER INC,"001 JP LAUREL NATIONAL HI-WAY, PUROK 4, BRGY SICO, LIPA CITY, BATANGAS",09175745711 / (043) 702-8417,microbiologicalsection@gmail.com ,lqcc_aslmain@yahoo.com,GERWIN M. ATIENZA,5461488,0,EXCELLENT,WMTL-PT-25-4A059,,E
15,LIPA CITY,4A,4A-0001-2426-LW-2,METRO LIPA WATER DISTRICT LABORATORY,"BRGY. BALINTAWAK, LIPA CITY, BATANGAS",09171370016 / (043) 740-0813 / 03176531819,webmaster@metrolipawd.gov.ph / mlwdwqlaboratory@gmail.com,mlwdwqlaboratory@gmail.com,AIDA M. PLATON,5537701,0,EXCELLENT,WMTL-PT-25-4A060,,E
15,LIPA CITY,4A,4A-0004-2426-LW-2,"OPTIMAL LABORATORIES, INC.","PUROK 1, BALINTAWAK, LIPA CITY, BATANGAS",(043)774-5037 / 233-1149 / 461-5020 / 09177147928,optimal_lab@hotmail.com ,documentcontrol@hotmail.com,JENNIFER R. MARALIT,5545254,0,EXCELLENT,WMTL-PT-25-4A061,,E
15,BIÑAN CITY,4A,4A-53977-7898,OSTREA MINERAL LABORATORIES INC - MAMPLASAN,"BRGY ROAD BO. MAMPLASAN, BIÑAN CITY, LAGUNA",09178703393 / (02) 8405-6210 / (049) 554-9800,jbhernandez@ostrealabs.com.ph,jbhernandez@ostrealabs.com.ph,MA. CRISTINA REFERENTE,5540769,1,HIGHLY SATISFACTORY,WMTL-PT-25-4A062,,HS
15,BATANGAS CITY,4A,4A-XXXX-XXXX-XX-X,PG-ENRO BATANGAS ENVIRONMENT LABORATORY,"PG-ENRO BLDG, CAPITOL SITE, KUMINTANG IBABA, BATANGAS CITY, BATANGAS",09358364559 / (043) 786-1245,pgenrobel@gmail.com,belipgenrobatangas@gmail.com,CHERYL LORRAINE H. ALORIA,5464513,0,EXCELLENT,WMTL-PT-25-4A063,,E
15,LOS BAÑOS,4A,4A-0004-2224-LW-1,REGIONAL STANDARDS AND TESTING LABORATORY,"JAMBOREE ROAD, TIMUGAN, LOS BAÑOS, LAGUNA",09178652988 / 049-5364390,rstl@ro4a.dost.gov.ph / rstl_dost4a@yahoo.com,jsbronburac@ro4a.dost.gov.ph,JENNY S. BRONBURAC,5560937,0,EXCELLENT,WMTL-PT-25-4A064,,E
15,SAN PABLO CITY,4A,4A-0003-2527-LW-1,SAN PABLO CITY WATER DISTRICT LABORATORY,"SPCWD COMPLEX, BRGY. SAN JOSE, SAN PABLO CITY, LAGUNA",09655738221 / 09655738221 / (049)502-8221,spcwdlaboratory@gmail.com,spcwdlaboratory@gmail.com,LEIGHANN CLAUDIA F. JONES,5552268,0,HIGHLY SATISFACTORY,WMTL-PT-25-4A065,,HS
15,SANTA ROSA CITY,4A,4A-015-2224-LW-2,SCIENTIA TECH COMPANY - LAGUNA,"BLK 3, LOT 11, BRAIN TRAIN CENTER, BRGY MDON JOSE, STA. ROSA BUSINESS PARK, SANTA ROSA CITY, LAGUNA",09564383010 / (02) 8697-5364 / (02) 8584-2241,scientia.tech.co@gmail.com,scientia.tech.co@gmail.com,CARL CHESTER FLOYD L. GO,5477932,0,EXCELLENT,WMTL-PT-25-04A066,,E
15,CAINTA,4A,4A-050-2325-LW-2,SCIENTIA TECH COMPANY - RIZAL,"KM 18 FELIX AVENUE, STO DOMINGO, CAINTA, RIZAL",09564383010 / 8584-2241,scientia.tech.co@gmail.com,scientia.tech.co@gmail.com,CHRISTIAN JAY B. CAMBIADOR,5477934,0,EXCELLENT,WMTL-PT-25-04A067,,E
15,PUERTO PRINCESA CITY,4B,4B-001-2426-LW-1,DOST - MIMAROPA WATER TESTING LABORATORY,"DOST, GOVERNMENT CENTER, BRGY SANTA MONICA, PUERTO PRINCESA CITY, PALAWAN",09178844332 / (048) 433-0489 / 09777677241,rstl@mimaropa.dost.gov.ph,rstl@mimaropa.dost.gov.ph,NICOLLE MARIE J. TREYES,5590374,0,ACCEPTABLE,WMTL-PT-25-4B068,,A
15,PUERTO PRINCESA CITY,4B,4B-002-2426-LW-1,ENVIRONMENTAL SANITATION AND PUBLIC HEALTH LABORATORY - PUERTO PRINCESA,"PRIMM BLDG. SPS GOVERNMENT CENTER, PEO COMPOUND, BANCAO-BANCAO, PUERTO PRINCESA CITY, PALAWAN",09189628098 / (048)434-9996 / 09175522056,phopalawanlaboratory@gmail.com,phopalawanlaboratory@gmail.com,PERLA E. PALAD,5501969,0,ACCEPTABLE,WMTL-PT-25-4B069,,A
